Polski,Deutsch
przekonywujący,überzeugend
zawodowo,beruflich
również,ebenso
kuszące,verlockend
taki/taka/takie,solch
zwolnienie,die Entlassung
odpowiedni,entsprechend
umowa,die Vereinbarung
zakaz,das Verbot
zwolnić,entlassen
na zewnątrz,hinaus
wyraźnie,ausdrücklich
zakazać,verbieten
niewielki/niski,gering
zakres,der Umfang
orzeczenia sądu / wyroki,die Gerichtsurteile
jest zagrożony,steht auf dem Spiel
niepewny,unsicher
prestiż,das Ansehen
przestępca,der Verbrecher
przesłuchiwać,verhören
aresztować,verhaften
sąd,das Gericht
zastępować / reprezentować,vertreten
sport wyczynowy,der Spitzensport
kapłan,der Pfarrer
adwokat,der Rechtsanwalt
prowadzić / opiekować się,betreuen
kazanie,die Predigt
wdrażać,umsetzen
