English,Deutsch
frog,der Frosch
butterfly,der Schmetterling
fish,der Fisch
bear,der Bär
hyena,die Hyäne
flamingo,der Flamingo
monkey,der Affe
lion,der Löwe
shark,der Hai
crocodile,das Krokodil
snake,die Schlange
lizard,die Eidechse
turtle,die Schildkröte
zebra,das Zebra
rhino,das Nashorn
snail,die Schnecke
antilope,die Antilope
elephant,der Elefant
giraffe,die Giraffe
crab,die Krabbe
spider,die Spinne
beatle,der Käfer
jellyfish,die Qualle
octopus,der Oktopus
bee,die Biene
dog,der Hund
whale,der Wal
dolphin,der Delfin
puma,der Puma
cat,die Katze
victim,das Opfer
poison,das Gift
weapon,die Waffe
mystery,das Rätsel
unremarkable,unauffällig
nervous,aufgeregt
mood,die Stimmung
anger,der Ärger
success,der Erfolg
loneliness,die Einsamkeit
stress,der Stress
loyal,treu
serious,ernst
stupid,dumm
smart,klug
dear,lieb
orderly,ordentlich
obedient,gehorsam
curious,neugierig
creative,kreativ
chaotic,chaotisch
friendly,freundlich
helpful,hilfsbereit
selfish,egoistisch
patient,geduldig
lazy,faul
diligent,fleißig
open,offen
humorous,humorvoll
