English,Deutsch
kitchen,die Küche
knife,das Messer
fork,die Gabel
spoon,der Löffel
cutlery,das Besteck
plate,der Teller
deep plate,der tiefe Teller
bowl,die Schüssel
kettle,der Wasserkessel
sink,das Spülbecken
oven,der Backofen
stove,der Herd
microwave,die Mikrowelle
fridge,der Kühlschrank
refrigerator,der Eisschrank
dishwasher,die Spülmaschine 
toaster,der Toaster
kitchen robot,die Küchenmaschine
cutting board,das Schneidebrett
working space,der Arbeitsplatz
dishcloth,das Geschirrtuch
kitchen towel,das Küchentuch
sponge,der Schwamm
dish soap,das Geschirrspülmittel
cookbook,das Kochbuch
pan,der Pfanne
pot,der Kochtopf
lid,der Deckel
spatula,der Pfannenwender
meat mallet,der Fleischklopfer
cupboard,der Schrank
glass,das Glas
trash can,der Mülleimer
tap,der Wasserhahn
